county_id,precinct_code,precinct_name,rvs_total,ballots_total,ballots_blank,yes_47,no_47,over_47,blank_47
25,0001,COLUMBUS 01-A,1251,109,6,51,51,0,6
25,0001,COLUMBUS 01-A,1251,207,0,142,55,0,10
25,0001,COLUMBUS 01-A,1251,497,0,299,169,0,29
25,0001,COLUMBUS 01-A,1251,17,1,11,5,0,1
25,0002,COLUMBUS 01-B,1388,76,1,43,32,0,1
25,0002,COLUMBUS 01-B,1388,131,0,93,33,0,5
25,0002,COLUMBUS 01-B,1388,513,0,315,171,0,27
25,0002,COLUMBUS 01-B,1388,28,3,13,11,0,4
25,0003,COLUMBUS 01-C,1463,122,5,71,46,0,5
25,0003,COLUMBUS 01-C,1463,185,0,131,46,0,8
25,0003,COLUMBUS 01-C,1463,669,0,395,224,0,50
25,0003,COLUMBUS 01-C,1463,30,3,15,11,0,4
25,0004,COLUMBUS 02-A,1298,110,0,72,37,0,0
25,0004,COLUMBUS 02-A,1298,179,0,128,43,0,8
25,0004,COLUMBUS 02-A,1298,324,0,237,73,0,14
25,0004,COLUMBUS 02-A,1298,16,1,9,5,0,2
25,0005,COLUMBUS 02-B,1074,127,5,97,24,0,6
25,0005,COLUMBUS 02-B,1074,191,0,147,43,0,1
25,0005,COLUMBUS 02-B,1074,482,1,325,128,0,29
25,0005,COLUMBUS 02-B,1074,18,2,6,8,0,4
25,0006,COLUMBUS 02-C,1555,175,3,127,44,0,4
25,0006,COLUMBUS 02-C,1555,231,0,165,54,0,12
25,0006,COLUMBUS 02-C,1555,556,0,396,129,0,31
25,0006,COLUMBUS 02-C,1555,18,3,8,7,0,3
25,0007,COLUMBUS 02-D,1214,148,6,90,51,0,7
25,0007,COLUMBUS 02-D,1214,249,0,189,54,0,6
25,0007,COLUMBUS 02-D,1214,459,0,322,108,0,29
25,0007,COLUMBUS 02-D,1214,28,1,21,6,0,1
25,0008,COLUMBUS 02-E,1055,165,9,93,61,1,9
25,0008,COLUMBUS 02-E,1055,212,0,147,58,0,7
25,0008,COLUMBUS 02-E,1055,394,0,280,103,0,11
25,0008,COLUMBUS 02-E,1055,12,2,6,3,0,3
25,0009,COLUMBUS 02-F,998,142,6,87,47,0,8
25,0009,COLUMBUS 02-F,998,199,0,143,51,0,5
25,0009,COLUMBUS 02-F,998,385,2,268,98,0,19
25,0009,COLUMBUS 02-F,998,18,0,12,6,0,0
25,0010,COLUMBUS 03-A,1359,80,4,49,25,0,5
25,0010,COLUMBUS 03-A,1359,140,0,96,35,0,9
